location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,gdp,total_cases,total_deaths,total_tests,tests_per_million,cases_per_million,deaths_per_million
Swaziland,Africa,1160164.0,60.19,2.1,7738.975,8978480191.9,4668.0,94.0,,,402356.90816125995,8102.3027778831265
Sweden,Europe,10099270.0,82.8,2.22,46949.283,474153485323.41003,84532.0,5820.0,,,837010.9918835717,57627.92756308129
Switzerland,Europe,8654618.0,83.78,4.53,57410.166,496863056046.58795,42655.0,1726.0,1023203.0,11822624.63808339,492858.26364606735,19943.110140736426
Syria,Asia,17500657.0,72.7,1.5,,,2898.0,120.0,,,16559.3783136256,685.688543007271
Taiwan,Asia,23816775.0,80.46,,,,489.0,7.0,87646.0,368001.1252573029,2053.1747056433965,29.39104895604044
Tajikistan,Asia,9537642.0,71.1,4.8,2896.913,27629719099.146,8654.0,69.0,,,90735.21526599552,723.4492550674474
Tanzania,Africa,59734213.0,65.46,0.7,2683.304,160285052679.752,509.0,21.0,,,852.1079870927571,35.155732276911394
Thailand,Asia,69799978.0,77.15,2.1,16277.671,1136181077691.238,3427.0,58.0,419970.0,601676.4074051714,4909.743667827517,83.09458206419492
Timor,Asia,1318442.0,69.5,5.9,6570.102,8662298421.084,27.0,0.0,,,2047.871654574111,0.0
Togo,Africa,8278737.0,61.04,0.7,1429.813,11837045786.181002,1434.0,30.0,54709.0,660837.5166405214,17321.482733416946,362.37411576186076
Trinidad and Tobago,North America,1399491.0,73.51,3.0,28763.071,40253658996.861,1920.0,28.0,,,137192.73650205682,2000.727407321662
Tunisia,Africa,11818618.0,76.7,2.3,10849.297,128223696811.546,4196.0,81.0,140714.0,1190612.9802993888,35503.305039557075,685.3593203536996
Turkey,Asia,84339067.0,77.69,2.81,25129.341,2119385174264.847,273301.0,6462.0,7247935.0,8593805.051222585,324050.30043787416,7661.929672520565
Turks and Caicos Islands,North America,38718.0,80.22,,,,555.0,4.0,,,1433441.8100108476,10331.112144222325
Uganda,Africa,45741000.0,63.37,0.5,1697.707,77654815887.0,3112.0,32.0,381749.0,834588.2250060121,6803.524190551147,69.95911764062876
Ukraine,Europe,43733759.0,72.06,8.8,7894.393,345251480913.287,125789.0,2656.0,1597707.0,3653257.8871164494,287624.4870695885,6073.111620704728
United Arab Emirates,Asia,9890400.0,77.97,1.2,67293.483,665559464263.2,71540.0,387.0,7177430.0,72569663.51209253,723327.6712771981,3912.885222033487
United Kingdom,Europe,67886004.0,81.32,2.54,39753.244,2698688881196.976,338676.0,41514.0,13447568.0,19809043.407533605,498889.28504320275,61152.51679860255
United States,North America,331002647.0,78.86,2.77,54225.446,17948766160755.562,6114406.0,185744.0,83898416.0,25346750.77689031,1847237.7956542445,56115.56332961893
United States Virgin Islands,North America,104423.0,80.58,,,,1144.0,15.0,,,1095544.0851153482,14364.65146567327
Uruguay,South America,3473727.0,77.91,2.8,20551.409,71389984331.343,1626.0,44.0,175080.0,5040119.733070561,46808.51431330096,1266.6510638285622
